acronym_,expansion,id,text,fullyExpandedText
BN,bayesian network,TS-94,Bayesian Network and Simulation Software for Risk Analysis and Decision Support ) to infer the posterior distribution of each node in BN .,Bayesian Network and Simulation Software for Risk Analysis and Decision Support ) to infer the posterior distribution of each node in Bayesian Network(ERROR while looking up semantic expansion) .
CRF,conditional random field,TS-95,"When using a standard BiLSTM - CRF model , the loss of a dataset ( ) composed of sentences ( ) is calculated as : Where is calculated by the CRF over outputs from the BiLSTM .","When using a standard BiLSTM - Conditional Random Field(ERROR while looking up semantic expansion) model , the loss of a dataset ( ) composed of sentences ( ) is calculated as : Where is calculated by the Conditional Random Field(ERROR while looking up semantic expansion) over outputs from the BiLSTM ."
GLC,gasliquid chromatographic,TS-96,thirteen saccharin samples used for carcinogenicity tests in animals in various laboratories were analyzed for their chemical purity although most of the impurities were watersoluble some were mainly soluble in organic solvents these impurities were extracted with chloroformmethanol from a water solution of sodium saccharin samples obtained as acidsaccharin were converted to the sodium form before SE the major impurity in commercial saccharin otoluenesulfonamide was also soluble in this system impurities were separated by GLC of the underivatized concentrated extract eleven L1 well separated peaks were collected from the gas chromatographic column and identified by mass spectroscopy some of the peaks were compared with known standards qualitative and quantitative differences in impurities were observed among different saccharin samples the identified impurities in order of appearance from the GLC column were as follows otoluenesulfonamide ptoluenesufonamide benzisothiazole dioxide benzisothiazoline dioxide diphenylsulfone ditolylsulfone omditolylsulfone opditolylsulfone mpditolylsulfone ppditolylsulfone and tetracosane,"thirteen saccharin samples used for carcinogenicity tests in animals in various laboratories were analyzed for their chemical purity although most of the impurities were watersoluble some were mainly soluble in organic solvents these impurities were extracted with chloroformmethanol from a water solution of sodium saccharin samples obtained as acidsaccharin were converted to the sodium form before Spectral Efficiency(ERROR while looking up semantic expansion) the major impurity in commercial saccharin otoluenesulfonamide was also soluble in this system impurities were separated by Gasliquid Chromatographic(No additional information found for Gasliquid Chromatographic) of the underivatized concentrated extract eleven Major(['officer\'s rank in many armed forces'], Major has the following properties: ['is an instance of military rank', 'is different from mayor']) well separated peaks were collected from the gas chromatographic column and identified by mass spectroscopy some of the peaks were compared with known standards qualitative and quantitative differences in impurities were observed among different saccharin samples the identified impurities in order of appearance from the Gasliquid Chromatographic(No additional information found for Gasliquid Chromatographic) column were as follows otoluenesulfonamide ptoluenesufonamide benzisothiazole dioxide benzisothiazoline dioxide diphenylsulfone ditolylsulfone omditolylsulfone opditolylsulfone mpditolylsulfone ppditolylsulfone and tetracosane"
CA,contention adaptions,TS-97,AcknowledgmentsVincent Gramoli gave me the idea of looking into immutable data structures in combination with the CA tree .,AcknowledgmentsVincent Gramoli gave me the idea of looking into immutable data structures in combination with the Corresponding Arcs(No additional information found for Corresponding Arcs) tree .
SVM,support vector machine,TS-98,"For example , the SVM trained on the AlexNet features ( fc - A ) yields an F1-measure of as compared with the F1-measure of achieved by the PCNH framework .","For example , the Support Vector Machine(['set of methods for supervised statistical learning'], Support Vector Machine has the following properties: ['is a part of supervised learning']) trained on the AlexNet features ( fc - A ) yields an F1-measure of as compared with the F1-measure of achieved by the NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) framework ."
SM,shared memory,TS-99,"Several blocks may be in process simultaneously on an SM , and blocks may not be split between SMs .","Several blocks may be in process simultaneously on an Scalar Multiplication(['binary operation; one of the basic operations defining a vector space'], Scalar Multiplication has the following properties: ['is an instance of multiplication']) , and blocks may not be split between SMs ."
SBM,sequential monte carlo,TS-100,The model with this likelihood will be called the Bernoulli SBM hereafter .,The model with this likelihood will be called the Bernoulli Stochastic Block Model([]) hereafter .
VM,virtual machine,TS-101,"In one example , no optimization was performed on VM assignment .","In one example , no optimization was performed on Virtual Machine(['software that emulates an entire computer, often used to provide a different operating system or hardware architecture than the host system'], Virtual Machine has the following properties: ['is different from container']) assignment ."
CNN,convolutional neural network,TS-102,"At the most compact configuration of MLconv structure , i.e. MLconv1 , we only observed a small increment of in classification error as compared to CNN baseline .","At the most compact configuration of MLconv structure , i.e. MLconv1 , we only observed a small increment of in classification error as compared to Convolutional Neural Network(ERROR while looking up semantic expansion) baseline ."
NCP,noncytopathic,TS-103,seven of nine colostrum deprived calves free from bovine viral diarrhoea virus bvdv were vaccinated with a commercially available vaccine containing two inactivated strains of bvdv an inactivated strain of BHV and modifiedlive strains of bovine respiratory syncytial virus and parainfluenza virus the two other calves were kept as controls the VN vn antibodies induced by vaccination were tested against antigenically diverse bvdv isolates including REF strains and field isolates both cp and NCP as well as genotypes i and ii the strains were isolated in belgium france germany the united kingdom and the usa while there were variations in the vn titres of the individual calves against all the strains SS from the seven animals neutralised or more of the strains tested from the results it can be concluded that the vaccine can stimulate the production of vn antibodies capable of neutralising a wide range of european and american isolates of bvdv including genotypes i and ii,seven of nine colostrum deprived calves free from bovine viral diarrhoea virus bvdv were vaccinated with a commercially available vaccine containing two inactivated strains of bvdv an inactivated strain of Bioprosthetic Heart Valves(ERROR while looking up semantic expansion) and modifiedlive strains of bovine respiratory syncytial virus and parainfluenza virus the two other calves were kept as controls the Vagus Nerve(ERROR while looking up semantic expansion) vn antibodies induced by vaccination were tested against antigenically diverse bvdv isolates including Reference(ERROR while looking up semantic expansion) strains and field isolates both cp and Noncytopathic(ERROR while looking up semantic expansion) as well as genotypes i and ii the strains were isolated in belgium france germany the united kingdom and the usa while there were variations in the vn titres of the individual calves against all the strains Speech Synthesis(ERROR while looking up semantic expansion) from the seven animals neutralised or more of the strains tested from the results it can be concluded that the vaccine can stimulate the production of vn antibodies capable of neutralising a wide range of european and american isolates of bvdv including genotypes i and ii
APs,alkylphenols,TS-104,uncontrolled systemictopulmonary shunt results in decreased SVR flow during extracorporeal life support ecls ligation of systemictopulmonary shunts during ecls is associated with poor outcome and is not always readily achieved in ex vivo S9 AM hypoxia results in pulmonary vasoconstriction despite normoxic pulmonary perfusate we hypothesized that anoxic ventilation would result in reduced pulmonary shunting and increased SVR flow during ecls in piglets with systemictopulmonary shunt four piglets were placed on ecls with RA and left atrial drainage a shunt was created between the bicarotid trunk and pulmonary i.a. using mm eptfe tubing inspired oxygen was reduced to for minutes then returned to room air ph hematocrit temperature ventilatory palcohol fatty acids and cardanols the nheptadecenyl salicylate represented of the as notable was the absence of dihydroxy APs which are linked to allergic reactions similar to the urushiols present in poison ivy in commercial products of ginkgo these dihydroxy phenols as well as the favorable as are removed during enrichment of flavonol glycosides and terpenic AHL the current findings suggest that IN carboxylic acid CG containing as are the bioactive components of the lipophilic extract of ginkgo leaves with antidepressant and antistress MICs,"uncontrolled systemictopulmonary shunt results in decreased Systemic(ERROR while looking up semantic expansion) flow during extracorporeal life support ecls ligation of systemictopulmonary shunts during ecls is associated with poor outcome and is not always readily achieved in ex vivo Preparations(ERROR while looking up semantic expansion) Arithmetic Mean(ERROR while looking up semantic expansion) hypoxia results in pulmonary vasoconstriction despite normoxic pulmonary perfusate we hypothesized that anoxic ventilation would result in reduced pulmonary shunting and increased Systemic(ERROR while looking up semantic expansion) flow during ecls in piglets with systemictopulmonary shunt four piglets were placed on ecls with Random Access(['term']) and left atrial drainage a shunt was created between the bicarotid trunk and pulmonary i.a. using mm eptfe tubing inspired oxygen was reduced to for minutes then returned to room air ph hematocrit temperature ventilatory palcohol fatty acids and cardanols the nheptadecenyl salicylate represented of the as notable was the absence of dihydroxy APs which are linked to allergic reactions similar to the urushiols present in poison ivy in commercial products of ginkgo these dihydroxy phenols as well as the favorable as are removed during enrichment of flavonol glycosides and terpenic Agerelated Hearing Loss(No additional information found for Agerelated Hearing Loss) the current findings suggest that Interstitial Nephritis(['type of nephritis affecting the interstitium of the kidneys surrounding the tubules'], Interstitial Nephritis has the following properties: ['is an instance of class of disease']) carboxylic acid Conjugate Gradient(ERROR while looking up semantic expansion) containing as are the bioactive components of the lipophilic extract of ginkgo leaves with antidepressant and antistress MICs"
CT,computed tomography,TS-105,"In this paper , we provide a three - dimensional level set method adapted to the root segmentation problem in X - ray CT , specifically when the volumes are large ( , or voxels ) .","In this paper , we provide a three - dimensional level set method adapted to the root segmentation problem in X - ray Computed Tomography(ERROR while looking up semantic expansion) , specifically when the volumes are large ( , or voxels ) ."
ASR,automatic speech recognition,TS-106,The input to the DST module is the combined output of the ASR and the NLU model .,"The input to the Dialogue State Tracker(No additional information found for Dialogue State Tracker) module is the combined output of the Automatic Speech Recognition(['automatic conversion of spoken language into text'], Automatic Speech Recognition has the following properties: ['is an instance of academic discipline', 'is a part of natural-language user interface']) and the NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) model ."
RL,reinforcement learning,TS-107,applied reinforcement learning ( RL ) to the VisDial task to learn the policies for the Q / A - Bots to collaboratively rank the correct image among a set of candidates .,"applied reinforcement learning ( Reinforcement Learning(['field of machine learning'], Reinforcement Learning has the following properties: ['is a part of machine learning']) ) to the VisDial task to learn the policies for the Q / A - Bots to collaboratively rank the correct image among a set of candidates ."
CC,central cloud,TS-108,"When split happens at Split 1 , then all the functions are centralized at CC resulting in CRAN .","When split happens at Split 1 , then all the functions are centralized at Charging Current(No additional information found for Charging Current) resulting in NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) ."
ML,machine learning,TS-109,Classic classifiersstance_ml_classifiersThe remaining ML approaches utilised are facilitated by the scikit - learn library which provides a wide variety of machine learning implementations .,"Classic classifiersstance_ml_classifiersThe remaining Machine Learning(['scientific study of algorithms and statistical models that computer systems use to perform tasks without explicit instructions'], Machine Learning has the following properties: ['is an instance of specialization', 'is a part of artificial intelligence', 'is different from artificial intelligence']) approaches utilised are facilitated by the scikit - learn library which provides a wide variety of machine learning implementations ."
HMC,hybrid monte carlo,TS-110,The trend observed for the HMC method as shown in plot : bToxin was also apparent in GHMC tests .,The trend observed for the Hybrid Monte Carlo([]) method as shown in plot : bToxin was also apparent in NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) tests .
PG,panax ginseng,TS-111,antiinflammatory and regenerative effect of bioantioxidant complex from biomass of PG was investigated extract from biomass of panax ginseng with antioxidant action can neutralize the negative effects of FRs complex had a strong reg and antiinflammatory action first of all in the exudative phase of inflammation,"antiinflammatory and regenerative effect of bioantioxidant complex from biomass of Policy Gradient(['scholarly article by Richard S. Sutton et al published 2000 in Advances in Neural Information Processing Systems 12'], Policy Gradient has the following properties: ['is an instance of scholarly article']) was investigated extract from biomass of panax ginseng with antioxidant action can neutralize the negative effects of FRs complex had a strong reg and antiinflammatory action first of all in the exudative phase of inflammation"
AMR,antibodymediated rejection,TS-112,acute AMR aamr is the subject of much research it is diagnosed by cd IF at biopsy and circulating DSA dsa the combination of intensive plasmapheresis and intravenous immunoglobulin ivig has been recognized as an ERP treatment for aamr we report our singlecenter experience on aamr treatment,"acute Amrinone(['chemical compound'], Amrinone has the following properties: ['is an instance of chemical compound']) aamr is the subject of much research it is diagnosed by cd Interference Factor(['scientific article published in February 2017'], Interference Factor has the following properties: ['is an instance of scholarly article']) at biopsy and circulating Data Science And Analytics(ERROR while looking up semantic expansion) dsa the combination of intensive plasmapheresis and intravenous immunoglobulin ivig has been recognized as an Effective(ERROR while looking up semantic expansion) treatment for aamr we report our singlecenter experience on aamr treatment"
CF,collaborative filtering,TS-113,The poor results for UC4 indicate that we need more sophisticated algorithms than MP and CF in this setting .,"The poor results for NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) indicate that we need more sophisticated algorithms than Message Passing(['mechanism for interprocess communication'], Message Passing has the following properties: ['has use concurrent computing']) and Collaborative Filtering(ERROR while looking up semantic expansion) in this setting ."
CT,computed tomography,TS-114,"Because 3D ConvNet contains too many parameters and is hard to train on relatively small public lung CT datasets , we employ 3D dual path networks as the components since DPN uses less parameters and obtains better performance than residual networkchen2017dual .","Because 3D ConvNet contains too many parameters and is hard to train on relatively small public lung Computed Tomography(ERROR while looking up semantic expansion) datasets , we employ 3D dual path networks as the components since Dual Path Network(ERROR while looking up semantic expansion) uses less parameters and obtains better performance than residual networkchen2017dual ."
SAC,soft actor critic,TS-115,"figure "" Small_Dense_Continuous_Grid_World"".pdf "" Small_Sparse_Continuous_Grid_World"".pdf Performance of SAC with various policies and gradient estimators on Continuous Grid World .","figure "" Small_Dense_Continuous_Grid_World"".pdf "" Small_Sparse_Continuous_Grid_World"".pdf Performance of Special Airworthiness Certificate(No additional information found for Special Airworthiness Certificate) with various policies and gradient estimators on Continuous Grid World ."
MC,monte carlo,TS-116,The specific threshold we set depends on the number of samples we choose for the MC - dropout .,The specific threshold we set depends on the number of samples we choose for the Mean - Centering(No additional information found for Mean - Centering) - dropout .
MI,mutual information,TS-117,"We provide more samples of words attended to by our single and MTL models in the supplementary material , along with corresponding MI scores . )","We provide more samples of words attended to by our single and Medial Temporal Lobe(['scientific article'], Medial Temporal Lobe has the following properties: ['is an instance of review article']) models in the supplementary material , along with corresponding Myocardial Infarction(['interruption of blood supply to a part of the heart'], Myocardial Infarction has the following properties: ['is an instance of cause of death']) scores . )"
IPS,interactive proof systems,TS-118,"In one - way IPS , the communication with a prover can also be represented as a single certificate ( then the prover is omitted ) , which is written on a separate one - way read - only tape ( e.g. see ) .","In one - way Intrusion Prevention System(['network security appliances that monitor network or system activities for malicious activity'], Intrusion Prevention System has the following properties: ['is an instance of computer program']) , the communication with a prover can also be represented as a single certificate ( then the prover is omitted ) , which is written on a separate one - way read - only tape ( e.g. see ) ."
CI,constructive interference,TS-119,"As can be seen from eq : Pk and eq : SINR , the consideration of non - zero , off diagonal elements in the precoding matrices , i.e. CI terms , has a double impact on each user ""s"" and thus the sum system capacity ; from one hand , it increases the expression by adding more positive terms in the summation , but on the other hand , it changes the power allocated to each user in eq : Sum Power Constraint , eq : Pk .","As can be seen from eq : Pk and eq : NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) , the consideration of non - zero , off diagonal elements in the precoding matrices , i.e. Current Iteration(No additional information found for Current Iteration) terms , has a double impact on each user ""s"" and thus the sum system capacity ; from one hand , it increases the expression by adding more positive terms in the summation , but on the other hand , it changes the power allocated to each user in eq : Sum Power Constraint , eq : Pk ."
RNN,recurrent neural network,TS-120,The resulting terms are then provided to a pre - trained RNN to obtain the corresponding vector space embedding of the terms .,"The resulting terms are then provided to a pre - trained Recurrent Neural Network(['class of artificial neural network where connections between units form a directed graph along a temporal sequence'], Recurrent Neural Network has the following properties: ['is different from recursive neural network']) to obtain the corresponding vector space embedding of the terms ."
CT,computed tomography,TS-121,"The results of experiments using 915 CT volumes from real patients demonstrate that the proposed framework has an outstanding capacity to reduce strong artifacts and to recover underlying missing voxels , while preserving the anatomical features of soft tissues and tooth structures from the original images .","The results of experiments using 915 Computed Tomography(['medical imaging procedure using X-rays to produce cross-sectional images'], Computed Tomography has the following properties: ['is an instance of medical test type']) volumes from real patients demonstrate that the proposed framework has an outstanding capacity to reduce strong artifacts and to recover underlying missing voxels , while preserving the anatomical features of soft tissues and tooth structures from the original images ."
MDS,maximum distance separable,TS-122,"Therefore , the matrix is a full rank matrix for every , implying that is a MDS code , completing the proof .","Therefore , the matrix is a full rank matrix for every , implying that is a Maximum Distance Separable(['scientific article published in 2022'], Maximum Distance Separable has the following properties: ['is an instance of scholarly article']) code , completing the proof ."
RE,relation extraction,TS-123,3 ) We match or exceed state - of - the - art performance for joint NER and RE on 5 datasets across 3 domains .,3 ) We match or exceed state - of - the - art performance for joint NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) and Resource Elements(No additional information found for Resource Elements) on 5 datasets across 3 domains .
MLD,metachromatic leukodystrophy,TS-124,MLD mld is an inherited storage disease caused by deficiency of arylsulfatase a arsa molecular analysis of the major mutations in the arsa gene was performed in ukrainian patients from families with mld according to the age of ON late infantile mld was identified in patients juvenile mld in patients and adult mld in patients sibs respectively the arsa activity in the patients was nmolhmg protein the normal activity has been established in our laboratory as nmolhmg protein no rho between CEA and a clinical course of disease was revealed the ivs mutation was found at of alleles in a patient with late infantile form and the pl mutation was found at of alleles in two patients with juvenile form thus the total frequency of these two L1 mutations in the arsa gene is in ukrainian mld patients,"Lethal Doses(['scientific article'], Lethal Doses has the following properties: ['is an instance of scholarly article']) mld is an inherited storage disease caused by deficiency of arylsulfatase a arsa molecular analysis of the major mutations in the arsa gene was performed in ukrainian patients from families with mld according to the age of Onufs Nucleus(No additional information found for Onufs Nucleus) late infantile mld was identified in patients juvenile mld in patients and adult mld in patients sibs respectively the arsa activity in the patients was nmolhmg protein the normal activity has been established in our laboratory as nmolhmg protein no rho between Enzyme Activity(['physical property of an enzyme, measured in  katal = 1 mol / s, or enzyme unit (U) = 1 μmol / min']) and a clinical course of disease was revealed the ivs mutation was found at of alleles in a patient with late infantile form and the pl mutation was found at of alleles in two patients with juvenile form thus the total frequency of these two Major(['officer\'s rank in many armed forces'], Major has the following properties: ['is an instance of military rank', 'is different from mayor']) mutations in the arsa gene is in ukrainian mld patients"
CADASIL,cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy,TS-125,to investigate the clinical features and genetic diagnostic method of CADASIL cadasil,"to investigate the clinical features and genetic diagnostic method of Cerebral Autosomal Dominant Arteriopathy With Subcortical Infarcts And Leukoencephalopathy(['autosomal dominant cerebrovascular disorder characterized by recurrent subcortical ischemic stroke and cognitive impairment'], Cerebral Autosomal Dominant Arteriopathy With Subcortical Infarcts And Leukoencephalopathy has the following properties: ['is an instance of rare disease']) cadasil"
MAP,maximum a posteriori,TS-126,"& Task&Segment & Feature Extraction&Classifier&Performance 4*Biased & 2*Abdullah2010 & 2 * 10 & 2 * 5 & 2*2weeks & 2 * 4 & EC & 2*5s & 2*AR & 2*ANN&CRR =  97.0  & & & & & & EO & & & & CRR =  96.02 - 11 & Riera2008&51&4 & 34  74days & 2 & EC &  4s & AR , PSD , MuI , COH , CC & FDA & EER =  3.4  2 - 11 & Su2010&40&2 & - & 1 & EC &  180s & AR , PSD & KNN , LDA & CRR =  97.5  8*Rigorous&Marcel2007&9&3&3days & 8 & MI &  1s & PSD & MAP model & HTER =  19.3  2 - 11 & Lee2013&4&2 &  10days -  5months & 1 & EC &  50s & PSD & LDA & AC =  100  2 - 11 & 2*Rocca2013 & 2 * 9 & 2 * 2 & 2 * 1 -  3weeks & 3 & 2*EC & 2*1s & 2*AR & 2*Linear classier & CRR =  100  & & & & & 5 & & & & & CRR =  100  2 - 11 & 2*Armstrong2015 & 15 & 2 & 5 -  40days & 2 * 1 & 2*ERP & 2*1.1s & 2*Time - series & 2*CC & CRR =  89.0  & & 9 & 3 & 134 -  188days & & & & & & CRR =  93.0  2 - 11 & 2*Maiorana2016a & 2 * 50 & 2 * 3 & 2*Ave . ","& Task&Segment & Feature Extraction&Classifier&Performance 4*Biased & 2*Abdullah2010 & 2 * 10 & 2 * 5 & 2*2weeks & 2 * 4 & Evolutionary Computation(ERROR while looking up semantic expansion) & 2*5s & 2*Auto - Regression(No additional information found for Auto - Regression) & 2*ANN&NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) =  97.0  & & & & & & Eyes Open(ERROR while looking up semantic expansion) & & & & NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) =  96.02 - 11 & Riera2008&51&4 & 34  74days & 2 & Evolutionary Computation(['subfield of artificial intelligence']) &  4s & Auto - Regression(No additional information found for Auto - Regression) , Power Spectral Density(['relative importance of certain frequencies in a composite signal']) , MuI , Controlled Ovarian Hyperstimulation(ERROR while looking up semantic expansion) , Charging Current(No additional information found for Charging Current) & Fisher 'S Discriminant Analysis(No additional information found for Fisher 'S Discriminant Analysis) & NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) =  3.4  2 - 11 & Su2010&40&2 & - & 1 & Evolutionary Computation(['subfield of artificial intelligence']) &  180s & AR , Power Spectral Density(['relative importance of certain frequencies in a composite signal']) & NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) , Latent Dirichlet Allocation(['generative statistical model that allows sets of observations to be explained by unobserved groups that explain why some parts of the data are similar'], Latent Dirichlet Allocation has the following properties: ['is an instance of topic model', 'is different from linear discriminant analysis']) & NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) =  97.5  8*Rigorous&Marcel2007&9&3&3days & 8 & Myocardial Infarction(['interruption of blood supply to a part of the heart'], Myocardial Infarction has the following properties: ['is an instance of cause of death']) &  1s & Power Spectral Density(['relative importance of certain frequencies in a composite signal']) & Maximum A Posteriori(['method of estimating the parameters of a statistical model']) model & NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) =  19.3  2 - 11 & Lee2013&4&2 &  10days -  5months & 1 & Evolutionary Computation(['subfield of artificial intelligence']) &  50s & Power Spectral Density(ERROR while looking up semantic expansion) & Latent Dirichlet Allocation(ERROR while looking up semantic expansion) & Audio Commons(No additional information found for Audio Commons) =  100  2 - 11 & 2*Rocca2013 & 2 * 9 & 2 * 2 & 2 * 1 -  3weeks & 3 & 2*EC & 2*1s & 2*AR & 2*Linear classier & NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) =  100  & & & & & 5 & & & & & NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) =  100  2 - 11 & 2*Armstrong2015 & 15 & 2 & 5 -  40days & 2 * 1 & 2*ERP & 2*1.1s & 2*Time - series & 2*CC & NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) =  89.0  & & 9 & 3 & 134 -  188days & & & & & & CRR =  93.0  2 - 11 & 2*Maiorana2016a & 2 * 50 & 2 * 3 & 2*Ave . "
RSS,random subcarrier selection,TS-127,"Although the OFDM - based RSS may dramatically reduce the circuit cost and computational complexity of the receiver , the DM transmitter still keeps a high circuit cost .","Although the NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) - based Received Signal Strength(['measurement of the power present in a received radio signal'], Received Signal Strength has the following properties: ['is an instance of objective quality metric', 'is a part of Wireless LAN']) may dramatically reduce the circuit cost and computational complexity of the receiver , the Distribution Matching(['scientific article'], Distribution Matching has the following properties: ['is an instance of scholarly article']) transmitter still keeps a high circuit cost ."
MAP,maximum a posteriori,TS-128,We hypothesize the greater improvement of DeepEM with Sampling over DeepEM with MAP is that MAP inference is greedy and can get stuck at a local minimum while the nature of sampling may allow DeepEM with Sampling to escape these local minimums during optimization .,We hypothesize the greater improvement of DeepEM with Sampling over DeepEM with Maximum A Posteriori(['method of estimating the parameters of a statistical model']) is that Maximum A Posteriori(['method of estimating the parameters of a statistical model']) inference is greedy and can get stuck at a local minimum while the nature of sampling may allow DeepEM with Sampling to escape these local minimums during optimization .
GPM,graph pattern matching,TS-129,"Graph Pattern Matching ( GPM ) , also referred to as the sub - graph matching is the foundational problem of graph query processing .","Graph Pattern Matching ( Graph Pattern Matching(ERROR while looking up semantic expansion) ) , also referred to as the sub - graph matching is the foundational problem of graph query processing ."
AI,artificial intelligence,TS-130,"In the Computer Science and Engineering program at the University of California , Merced , the "" Introduction to Artificial Intelligence "" class provides a broad survey of AI methods and topics , including the construction of automated reasoning systems using first - order logic to represent knowledge .","In the Computer Science and Engineering program at the University of California , Merced , the "" Introduction to Artificial Intelligence "" class provides a broad survey of Artificial Intelligence(ERROR while looking up semantic expansion) methods and topics , including the construction of automated reasoning systems using first - order logic to represent knowledge ."
UM,utilization management,TS-131,there is a broad literature addressing the need for improving UM in medical care numerous review articles and case studies have described approaches to utilization management challenges in the laboratory this article will present an overview of the literature on laboratory UM and will compile a toolbox of strategies that can be used to address specific UM initiatives a clear theme among successful utilization management programs is the need to recruit institutional champions both for the overall UM program and for ad hoc assistance with TPS utilization challenges it is important that these individuals represent a cross section of laboratory and clinical specialties and that the group be organized as a EC that has been established by the administrative and physician leadership of the organization the changing nature of healthcare reimbursement will likely provide increased motivation to control laboratory testing and costs clinical pathologists are in a unique position to observe testing behavior patterns suggest alternatives implement order entry changes manage testing algorithms and provide interpretive services for laboratory testing for these reasons clinical pathologists have a L1 opportunity to become institutional leaders in UM,"there is a broad literature addressing the need for improving User Model(ERROR while looking up semantic expansion) in medical care numerous review articles and case studies have described approaches to utilization management challenges in the laboratory this article will present an overview of the literature on laboratory User Model(ERROR while looking up semantic expansion) and will compile a toolbox of strategies that can be used to address specific User Model(ERROR while looking up semantic expansion) initiatives a clear theme among successful utilization management programs is the need to recruit institutional champions both for the overall User Model(ERROR while looking up semantic expansion) program and for ad hoc assistance with NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) utilization challenges it is important that these individuals represent a cross section of laboratory and clinical specialties and that the group be organized as a Evolutionary Computation(['subfield of artificial intelligence']) that has been established by the administrative and physician leadership of the organization the changing nature of healthcare reimbursement will likely provide increased motivation to control laboratory testing and costs clinical pathologists are in a unique position to observe testing behavior patterns suggest alternatives implement order entry changes manage testing algorithms and provide interpretive services for laboratory testing for these reasons clinical pathologists have a Major(['officer\'s rank in many armed forces'], Major has the following properties: ['is an instance of military rank', 'is different from mayor']) opportunity to become institutional leaders in User Model(['journal'], User Model has the following properties: ['is an instance of scientific journal'])"
CT,computed tomography,TS-132,"Volume - to - volume translationGiven a patient ""s"" whole CT volume with metal artifacts , the trained artifact reduction model translates it to the target domain .","Volume - to - volume translationGiven a patient ""s"" whole Computed Tomography(ERROR while looking up semantic expansion) volume with metal artifacts , the trained artifact reduction model translates it to the target domain ."
DMN,dynamic memory network,TS-133,"However , a more internal kind of joint inference could also be achieved within a neural architecture ( e.g. the DMN ) .","However , a more internal kind of joint inference could also be achieved within a neural architecture ( e.g. the Dynamic Memory Network(ERROR while looking up semantic expansion) ) ."
CNN,convolutional neural network,TS-134,tableH  tabularcccccccccc & 3c80 & 3c160 & 3c320 & SRP & GMBF & CNNf15 + 11+static & SRP & GMBF & CNNf15 + 11+static & SRP & GMBF & CNNf15 + 11+statu 2 * 01 & & & & & & & & & & & & & & & & & & 2 * 02 & & & & & & & & & & & & & & & & & & 2 * 03 & & & & & & & & & & & & & & & & & & 2*Average & & & & & & & & & & & & & & & & & & tabular Results for the standard SRP - PHAT strategy ( columns SRP ) ; the one invelasco2012-F ( columns GMBF ) ; and the CNN fine tuned with the sequences described in Table tab : fine - tuning - material ( columns CNNf15 + 11+static ) tab : baselineResults+ft15 + 1 + 2 + 3table,"tableH  tabularcccccccccc & 3c80 & 3c160 & 3c320 & NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) & NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) & Convolutional Neural Network(['A class of deep neural networks, most commonly applied to analyzing visual imagery.'])f15 + 11+static & NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) & NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) & CNNf15 + 11+static & NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) & NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) & CNNf15 + 11+statu 2 * 01 & & & & & & & & & & & & & & & & & & 2 * 02 & & & & & & & & & & & & & & & & & & 2 * 03 & & & & & & & & & & & & & & & & & & 2*Average & & & & & & & & & & & & & & & & & & tabular Results for the standard NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) - NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) strategy ( columns NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) ) ; the one invelasco2012-F ( columns NO EXPANSION FOUND(No additional information found for NO EXPANSION FOUND) ) ; and the CNN fine tuned with the sequences described in Table tab : fine - tuning - material ( columns CNNf15 + 11+static ) tab : baselineResults+ft15 + 1 + 2 + 3table"
